company_name,location,phone,website
Patagonia,"Ventura, California",(800) 638-6464,www.patagonia.com
The North Face,"1551 Wewatta St, Denver, Colorado 80202, United States",(888) 863-1968,thenorthface.com
REI Co-op,"6750 S 228th St, Kent, Washington, 98032, United States",1-800-426-4840,rei.com
Columbia Sportswear,"Portland, Oregon, United States",503-505-4898,www.columbiasportswearcompany.com
Arc'teryx,"Vancouver, British Columbia, Canada",(866) 458-2473,arcteryx.com
Cotopaxi,"Cwmbran, UK",(844) 268-6729,uk.cotopaxi.com
Black Diamond Equipment,"Salt Lake City, UT",(801) 278-5552,blackdiamondequipment.com
Marmot,"Rohnert Park, California, United States",1-888-357-3262,marmot.com
Mountain Hardwear,"Richmond, California, United States",1-877-927-5649,mountainhardwear.com
Outdoor Research,"Seattle, WA, US",855-967-8197,outdoorresearch.com
prAna,"Carlsbad, California, United States",1-866-915-6457,prana.com
Kuhl,"Salt Lake City, UT, USA",1.888.218.3181,kuhl.com
Fjallraven,"Louisville, Colorado",(855) 996-3746,fjallraven.com
Osprey Packs,"Cortez, Colorado, United States",(866) 284-7830,www.osprey.com
Deuter,"Gersthofen, Bavaria, Germany",+49 (0)821 / 4987 - 0,deuter.com
Gregory Mountain Products,"Salt Lake City, Utah, USA",1-877-477-4292,gregory.com
Big Agnes,"Steamboat Springs, CO, United States of America",(+1) 877.554.8975,bigagnes.com
NEMO Equipment,"Dover, NH",(800) 997-9301,nemoequipment.com
Therm-a-Rest,"Seattle, Washington, United States",(206) 505-9500,www.thermarest.com
MSR,"Seattle, Washington, United States",,msrgear.com
Salomon,"Annecy, France",+33 450654141,www.salomon.com
Merrell,"Rockford, Michigan, United States",+18002883124,merrell.com
Keen,"Portland, Oregon, United States",1-866-676-5336,keenfootwear.com
Vasque,"Red Wing, Minnesota, United States",(800) 224-4453,www.vasque.com
La Sportiva,"Ziano di Fiemme, Italy",+39 462571800,www.lasportiva.com
Scarpa,"Boulder, Colorado, USA",,us.scarpa.com
Hoka,"Goleta, California, United States",,hoka.com
Danner,"Portland, Oregon, United States",(503) 251-1100,danner.com
Oboz Footwear,"Bozeman, Montana, United States",(406) 522-0319,www.obozfootwear.com
Smartwool,"Denver, Colorado, United States",(855) 408-8546,www.smartwool.com
Darn Tough,"Northfield, Vermont, United States",(877) 327-6883,www.darntough.com
Icebreaker,"Auckland, New Zealand",1 888 530 0075,na.icebreaker.com
Rab,"Alfreton, Derbyshire, United Kingdom",,rab.equipment
Mountain Equipment,"Manchester, United Kingdom",,mountainequipment.com
Helly Hansen,"Oslo, Norway",(+47) 21 05 02 57,hellyhansen.com
Salewa,"Boulder, Colorado, USA",(303) 444-0446,salewa.com
Mammut,"Seon, Switzerland",+41 (0) 62 769 81 81,www.mammut.com
Ortovox,"Taufkirchen, Germany",+49-8966-6740,ortovox.com
Klean Kanteen,"Chico, California",1.800.767.3173,kleankanteen.com
Hydro Flask,"Bend, Oregon, United States",+1 888-584-9376,hydroflask.com
Nalgene,"Rochester, NY, U.S.A.",1-844-625-4363,nalgene.com
CamelBak,"Petaluma, California, United States",,camelbak.com
Yeti,"Austin, Texas, United States",,yeti.com
Stanley,"Seattle, Washington, United States",,stanley1913.com
Leatherman,"Portland, Oregon, United States",1-888-541-2999,leatherman.com
Petzl,"Crolles, France",+33 (0)4 76 92 09 00,www.petzl.com
Garmin,"Olathe, Kansas, United States",,garmin.com
Suunto,"Vantaa, Finland",+358 9 875 870,suunto.com
Sonder,Unknown (ambiguous match - not a well-established outdoor gear brand),,Unknown
Backcountry,"Park City, Utah, United States",,backcountry.com
